 num     #instances         #bytes  class name (module)
  88:          6263         250520  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter
  89:         10299         247176  com.intellij.util.indexing.impl.MapIndexStorage$3$1
  90:         10288         246912  com.intellij.util.indexing.impl.ValueContainerImpl
  91:         10174         244176  java.lang.Long (java.base@11.0.9.1)
  92:          7550         241600  javax.swing.text.html.StyleSheet$SmallConversionSet (java.desktop@11.0.9.1)
  93:          7528         240896  javax.swing.SizeRequirements (java.desktop@11.0.9.1)
  94:          6008         240320  com.intellij.psi.impl.java.stubs.impl.PsiModifierListStubImpl
  95:          7428         237696  com.intellij.openapi.util.ObjectNode
  96:          1312         230664  [F (java.base@11.0.9.1)
  97:          5764         230560  com.intellij.psi.util.MethodSignatureBackedByPsiMethod
  98:          4706         225888  java.awt.geom.Rectangle2D$Double (java.desktop@11.0.9.1)
  99:          9351         224424  com.intellij.psi.util.CachedValuesManager$1
 100:          6991         221112  [Ljava.security.ProtectionDomain; (java.base@11.0.9.1)
 101:          5478         219120  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
 102:          5472         218880  com.intellij.codeInspection.ex.ScopeToolState
 103:          4395         210960  java.util.Hashtable (java.base@11.0.9.1)
 104:          4394         210912  javax.swing.text.html.HTMLDocument$BlockElement (java.desktop@11.0.9.1)
 105:          5212         208480  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
 106:          5180         207200  com.intellij.ui.scale.UserScaleContext
 107:          5135         205400  com.intellij.psi.impl.source.tree.java.PsiJavaTokenImpl
 108:         12789         204624  javax.swing.event.EventListenerList (java.desktop@11.0.9.1)
 109:          5064         202560  java.util.TreeMap$Entry (java.base@11.0.9.1)
 110:          4187         200976  java.nio.HeapCharBuffer (java.base@11.0.9.1)
 111:          8361         200664  com.intellij.codeInspection.bytecodeAnalysis.EKey
 112:           497         198800  com.intellij.ide.HelpTooltip$Header
 113:          2675         192600  com.intellij.psi.impl.source.xml.XmlTagImpl
 114:          2912         186368  com.intellij.util.containers.FixedHashMap
 115:          5820         186240  java.lang.ref.ReferenceQueue (java.base@11.0.9.1)
 116:          2583         185976  java.awt.Font (java.desktop@11.0.9.1)
 117:          2889         184896  com.intellij.psi.impl.source.xml.XmlAttributeImpl
 118:          7694         184656  com.intellij.util.keyFMap.OneElementFMap
 119:          3836         184128  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$SoftValue
 120:          3760         180480  org.jdom.ImmutableElement
 121:          4509         180360  com.intellij.openapi.extensions.impl.XmlExtensionAdapter
 122:          1826         175296  sun.font.AttributeValues (java.desktop@11.0.9.1)
 123:         10955         175280  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.9.1)
 124:          5472         175104  com.intellij.codeInspection.ex.ToolsImpl
 125:           496         174592  com.intellij.ui.components.JBScrollPane$Corner
 126:          7492         174256  [Ljavax.swing.text.AttributeSet; (java.desktop@11.0.9.1)
 127:          1929         169752  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
 128:           378         166320  com.intellij.openapi.actionSystem.impl.ActionToolbarImpl
 129:          5180         165760  com.intellij.util.ui.JBScalableIcon$1
 130:            41         164496  [Ljava.nio.ByteBuffer; (java.base@11.0.9.1)
 131:          4089         163560  sun.java2d.pipe.Region (java.desktop@11.0.9.1)
 132:          2900         162400  com.intellij.psi.impl.source.xml.XmlAttributeValueImpl
 133:          4057         162280  com.intellij.psi.impl.source.javadoc.PsiDocTokenImpl
 134:          9970         159520  java.util.HashSet (java.base@11.0.9.1)
 135:          6612         158688  org.jetbrains.plugins.textmate.language.syntax.SyntaxRuleProxyDescriptor
 136:          2793         156408  com.intellij.psi.impl.source.tree.java.PsiReferenceParameterListImpl
 137:          3909         156360  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
 138:          4452         154112  [Lorg.jdom.Content;
 139:          2741         153496  javax.swing.text.html.StyleSheet$BoxPainter (java.desktop@11.0.9.1)
